Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,BA,IBICARAI,PSL,17,ALFREDO AGLE SANTANA BARACAT HABIB,116,Não eleito,0.843,(sem coligação),
Prefeito,BA,IBICARAI,PSDB,45,ASTOR JOSE MAURO RIBEIRO,"6,141",Eleito,44.649,(sem coligação),
Prefeito,BA,IBICARAI,PSD,41,CHATOUBIRAN SANTOS DE OLIVEIRA,30,Não eleito,0.218,(sem coligação),
Prefeito,BA,IBICARAI,PT,13,COCHISE RODRIGUES ASSIS,360,Não eleito,2.617,(sem coligação),
Prefeito,BA,IBICARAI,PFL,25,JOSE HENRIQUE MORAES DE OLIVEIRA,"6,122",Não eleito,44.511,(sem coligação),
Prefeito,BA,IBICARAI,PMDB,15,LUIZ HENRIQUE GERBASI SAMPAIO,581,Não eleito,4.224,(sem coligação),
Prefeito,BA,IBICARAI,PL,22,MANOEL DE CARVALHO BATISTA,36,Não eleito,0.262,(sem coligação),
Prefeito,BA,IBICARAI,PPB,11,MILTON GAMA DE OLIVEIRA,368,Não eleito,2.676,(sem coligação),
Prefeito,BA,IBICUI,PSDB,45,FLAVIO SANTANA,104,Não eleito,1.386,(sem coligação),
Prefeito,BA,IBICUI,PSL,17,JEDIAEL VEIGA MORAIS,"3,757",Eleito,50.087,(sem coligação),
Prefeito,BA,IBICUI,PFL,25,THEOPOMPO LEAL BARBOSA,"3,588",Não eleito,47.834,(sem coligação),
Prefeito,BA,IBICUI,PTB,14,VALDIR BATISTA DIAS,52,Não eleito,0.693,(sem coligação),
Prefeito,BA,IBITITA,PL,22,CARLOS ANTONIO SANCHO PAIVA,"1,888",Não eleito,20.362,(sem coligação),
Prefeito,BA,IBITITA,PTB,14,DOMINGOS MOITINHO DOURADO,"3,862",Eleito,41.652,(sem coligação),
Prefeito,BA,IBITITA,PFL,25,MARCELO LIMA DOURADO MATOS,"3,522",Não eleito,37.985,(sem coligação),
Prefeito,BA,ITAETE,PDT,12,LEONIDIO SOUZA DAMASCENO FILHO,"3,387",Eleito,63.037,(sem coligação),
Prefeito,BA,ITAETE,PFL,25,TELESPHORO AZEVEDO FILHO,"1,986",Não eleito,36.963,(sem coligação),
