Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,RS,PORTO ALEGRE,PT,13,RAUL JORGE ANGLADA PONT,"378,099",Não eleito,46.684,PT / PSL / PTN / PCB / PL / PMN / PC do B,
Prefeito,SP,CAMPINAS,PSDB,45,CARLOS HENRIQUE FOCESI SAMPAIO,"232,643",Não eleito,47.372,PP / PTB / PTN / PSC / PPS / PAN / PHS / PMN / PTC / PRP / PSDB / PRONA,
Prefeito,SP,CAMPINAS,PDT,12,HÉLIO DE OLIVEIRA SANTOS,"258,456",Eleito,52.628,PDT / PMDB / PFL,
Prefeito,SP,DIADEMA,PSDB,45,JOSÉ AUGUSTO DA SILVA RAMOS,"110,779",Não eleito,49.875,PP / PTB / PSL / PTN / PSC / PPS / PAN / PHS / PTC / PSB / PSDB / PRONA / PT do B,
Prefeito,SP,DIADEMA,PT,13,JOSE DE FILIPPI JUNIOR,"111,333",Eleito,50.125,PT / PC do B,
Prefeito,SP,OSASCO,PSDB,45,CELSO ANTONIO GIGLIO,"181,633",Não eleito,47.462,PP / PDT / PSL / PSC / PFL / PSDC / PRTB / PTC / PSB / PRP / PSDB / PT do B,
Prefeito,SP,OSASCO,PT,13,EMIDIO PEREIRA DE SOUZA,"201,060",Eleito,52.538,PT / PTB / PTN / PCB / PL / PPS / PC do B,
Prefeito,SP,PIRACICABA,PSDB,45,BARJAS NEGRI,"120,412",Eleito,68.202,PSDB / PP / PTB / PFL / PHS / PSB,
Prefeito,SP,PIRACICABA,PPS,23,ROBERTO TURCHI DE MORAIS,"56,141",Não eleito,31.798,PDT / PMDB / PSL / PSC / PL / PPS / PRTB / PTC / PC do B,
Prefeito,SP,RIBEIRAO PRETO,PMDB,15,LUIZ FELIPE BALEIA TENUTO ROSSI,"102,918",Não eleito,39.44,PMDB / PPS / PFL / PDT / PSB / PMN / PRONA / PRP / PHS / PSDC / PRTB / PAN / PTN,
Prefeito,SP,RIBEIRAO PRETO,PSDB,45,WELSON GASPARINI,"158,032",Eleito,60.56,PSL / PSC / PTC / PSDB,
Prefeito,SP,SANTO ANDRE,PT,13,JOÃO AVAMILENO,"203,321",Eleito,53.485,PT / PCB / PV / PC do B,
Prefeito,SP,SANTO ANDRE,PSDB,45,NEWTON DA COSTA BRANDÃO,"176,828",Não eleito,46.515,PP / PTB / PSL / PTN / PSC / PL / PPS / PFL / PAN / PRTB / PHS / PTC / PSB / PRP / PSDB / PRONA / PT do B,
Prefeito,SP,SANTOS,PMDB,15,JOÃO PAULO TAVARES PAPA,"121,002",Eleito,50.369,PP / PMDB / PFL / PRONA / PT do B,
Prefeito,SP,SANTOS,PT,13,TELMA SANDRA AUGUSTO DE SOUZA,"119,231",Não eleito,49.631,PT / PCB / PMN / PV / PC do B,
Prefeito,SP,SAO JOSE DO RIO PRETO,PPS,23,EDSON EDINHO COELHO ARAUJO,"104,709",Eleito,50.793,PP / PMDB / PTN / PSC / PL / PPS / PRP / PC do B / PT do B,
Prefeito,SP,SAO JOSE DO RIO PRETO,PFL,25,MANOEL ANTUNES,"101,441",Não eleito,49.207,PFL / PSDB / PSB / PSL / PMN / PHS,
Prefeito,SP,SAO PAULO,PSDB,45,JOSÉ SERRA,"3,330,179",Eleito,54.86,PSDB / PFL / PPS,
Prefeito,SP,SAO PAULO,PT,13,MARTA TEREZA SUPLICY,"2,740,152",Não eleito,45.14,PT / PTB / PSL / PL / PRTB / PC do B / PTN,
Prefeito,SP,SOROCABA,PFL,25,JOSÉ ANTONIO CALDINI CRESPO,"100,998",Não eleito,37.566,PFL / PMDB / PRONA / PV / PSC / PSDC / PHS / PRTB,
Prefeito,SP,SOROCABA,PSDB,45,VITOR LIPPI,"167,856",Eleito,62.434,PSDB / PP / PDT / PSL / PL / PTC,
Prefeito,SP,BAURU,PSDB,45,CAIO MÁRCIO VIOTTO COUBE,"82,619",Não eleito,48.221,PSDB / PL / PP / PRP / PRTB / PTC,
Prefeito,SP,BAURU,PDT,12,JOSE GUALBERTO TUGA MARTINS ANGERAMI,"88,716",Eleito,51.779,PDT / PMDB / PSDC / PMN / PC do B,
