ano,turno,tipo_eleicao,sigla_uf,id_municipio,cargo,numero_candidato,sequencial_candidato,resultado,sigla_partido,id_municipio_tse,id_candidato_bd,votos
2016,1,eleicao ordinaria,CE,2306801,prefeito,45,60000016806,eleito,PSDB,14370,0.0,3356
2016,1,eleicao ordinaria,CE,2306900,prefeito,12,60000008025,eleito,PDT,14397,0.0,11511
2016,1,eleicao ordinaria,CE,2307007,prefeito,13,60000004466,nao eleito,PT,14419,0.0,11147
2016,1,eleicao ordinaria,CE,2307007,prefeito,19,60000013020,eleito,PTN,14419,0.0,11995
2016,1,eleicao ordinaria,CE,2307106,prefeito,12,60000016992,nao eleito,PDT,14435,0.0,5517
2016,1,eleicao ordinaria,CE,2307106,prefeito,18,60000015380,nao eleito,REDE,14435,0.0,82
2016,1,eleicao ordinaria,CE,2307106,prefeito,23,60000006329,nao eleito,PPS,14435,0.0,228
2016,1,eleicao ordinaria,CE,2307106,prefeito,65,60000002329,eleito,PC do B,14435,0.0,10306
2016,1,eleicao ordinaria,CE,2307205,prefeito,55,60000014301,eleito,PSD,14451,0.0,3971
2016,1,eleicao ordinaria,CE,2307254,prefeito,12,60000010041,nao eleito,PDT,13005,0.0,3206
2016,1,eleicao ordinaria,CE,2307254,prefeito,25,60000007684,nao eleito,DEM,13005,0.0,3769
2016,1,eleicao ordinaria,CE,2307254,prefeito,50,60000008146,nao eleito,PSOL,13005,0.0,115
2016,1,eleicao ordinaria,CE,2307254,prefeito,51,60000013444,nao eleito,PEN,13005,0.0,53
2016,1,eleicao ordinaria,CE,2307254,prefeito,77,60000005368,eleito,SD,13005,0.0,4084
2016,1,eleicao ordinaria,CE,2307304,prefeito,10,60000015416,nao eleito,PRB,28956,0.0,2864
2016,1,eleicao ordinaria,CE,2307304,prefeito,12,60000016157,nao eleito,PDT,28956,0.0,44321
2016,1,eleicao ordinaria,CE,2307304,prefeito,14,60000016044,eleito,PTB,28956,0.0,55538
2016,1,eleicao ordinaria,CE,2307304,prefeito,35,60000015892,nao eleito,PMB,28956,0.0,1017
2016,1,eleicao ordinaria,CE,2307304,prefeito,40,60000004234,nao eleito,PSB,28956,0.0,9084
2016,1,eleicao ordinaria,CE,2307304,prefeito,45,60000015784,nao eleito,PSDB,28956,0.0,13157
2016,1,eleicao ordinaria,CE,2307304,prefeito,50,60000009389,nao eleito,PSOL,28956,0.0,4013
2016,1,eleicao ordinaria,CE,2307403,prefeito,12,60000001382,eleito,PDT,14494,0.0,8747
2016,1,eleicao ordinaria,CE,2307403,prefeito,22,60000005493,nao eleito,PR,14494,0.0,7126
2016,1,eleicao ordinaria,CE,2307502,prefeito,12,60000008256,nao eleito,PDT,14516,0.0,7339
2016,1,eleicao ordinaria,CE,2307502,prefeito,15,60000014761,eleito,PMDB,14516,0.0,9938
2016,1,eleicao ordinaria,CE,2307502,prefeito,18,60000009299,nao eleito,REDE,14516,0.0,156
2016,1,eleicao ordinaria,CE,2307502,prefeito,45,60000012632,nao eleito,PSDB,14516,0.0,1099
2016,1,eleicao ordinaria,CE,2307601,prefeito,11,60000005204,nao eleito,PP,14532,0.0,1029
2016,1,eleicao ordinaria,CE,2307601,prefeito,15,60000002811,eleito,PMDB,14532,0.0,24938
2016,1,eleicao ordinaria,CE,2307601,prefeito,17,60000006733,nao eleito,PSL,14532,0.0,675
2016,1,eleicao ordinaria,CE,2307601,prefeito,25,60000010066,nao eleito,DEM,14532,0.0,7342
2016,1,eleicao ordinaria,CE,2307601,prefeito,40,60000008417,nao eleito,PSB,14532,0.0,25
2016,1,eleicao ordinaria,CE,2307601,prefeito,65,60000004437,nao eleito,PC do B,14532,0.0,662
2016,1,eleicao ordinaria,CE,2307635,prefeito,12,60000014720,nao eleito,PDT,13021,0.0,2144
2016,1,eleicao ordinaria,CE,2307635,prefeito,15,60000005545,eleito,PMDB,13021,0.0,7640
2016,1,eleicao ordinaria,CE,2307635,prefeito,50,60000005348,nao eleito,PSOL,13021,0.0,1196
2016,1,eleicao ordinaria,CE,2307650,prefeito,12,60000010186,nao eleito,PDT,31714,0.0,31469
2016,1,eleicao ordinaria,CE,2307650,prefeito,22,60000001494,eleito,PR,31714,0.0,81315
2016,1,eleicao ordinaria,CE,2307700,prefeito,31,60000003341,eleito,PHS,14559,0.0,33634
2016,1,eleicao ordinaria,CE,2307809,prefeito,25,60000004254,nao eleito,DEM,14575,0.0,7450
2016,1,eleicao ordinaria,CE,2307809,prefeito,55,60000003967,eleito,PSD,14575,0.0,10750
2016,1,eleicao ordinaria,CE,2307908,prefeito,15,60000003924,nao eleito,PMDB,14591,0.0,3638
2016,1,eleicao ordinaria,CE,2307908,prefeito,54,60000014988,nao eleito,PPL,14591,0.0,127
2016,1,eleicao ordinaria,CE,2307908,prefeito,55,60000017193,eleito,PSD,14591,0.0,4525
2016,1,eleicao ordinaria,CE,2307908,prefeito,65,60000008264,nao eleito,PC do B,14591,0.0,21
2016,1,eleicao ordinaria,CE,2308005,prefeito,11,60000005505,nao eleito,PP,14613,0.0,10764
2016,1,eleicao ordinaria,CE,2308005,prefeito,15,60000008293,eleito,PMDB,14613,0.0,12596
2016,1,eleicao ordinaria,CE,2308104,prefeito,12,60000011301,eleito,PDT,14630,0.0,15589
2016,1,eleicao ordinaria,CE,2308104,prefeito,13,60000004846,nao eleito,PT,14630,0.0,11482
2016,1,eleicao ordinaria,CE,2308203,prefeito,11,60000006954,eleito,PP,14656,0.0,4047
2016,1,eleicao ordinaria,CE,2308203,prefeito,13,60000002717,nao eleito,PT,14656,0.0,2685
2016,1,eleicao ordinaria,CE,2308203,prefeito,22,60000005553,nao eleito,PR,14656,0.0,290
2016,1,eleicao ordinaria,CE,2308203,prefeito,77,60000005140,nao eleito,SD,14656,0.0,1983
2016,1,eleicao ordinaria,CE,2308302,prefeito,12,60000009830,eleito,PDT,14672,0.0,9312
2016,1,eleicao ordinaria,CE,2308302,prefeito,15,60000004067,nao eleito,PMDB,14672,0.0,8402
2016,1,eleicao ordinaria,CE,2308351,prefeito,15,60000005665,nao eleito,PMDB,15970,0.0,4362
2016,1,eleicao ordinaria,CE,2308351,prefeito,55,60000004961,eleito,PSD,15970,0.0,4922
2016,1,eleicao ordinaria,CE,2308377,prefeito,22,60000003969,eleito,PR,14680,0.0,5598
2016,1,eleicao ordinaria,CE,2308377,prefeito,55,60000010928,nao eleito,PSD,14680,0.0,3962
2016,1,eleicao ordinaria,CE,2308401,prefeito,13,60000009072,nao eleito,PT,14699,0.0,10166
2016,1,eleicao ordinaria,CE,2308401,prefeito,15,60000010431,eleito,PMDB,14699,0.0,11691
2016,1,eleicao ordinaria,CE,2308500,prefeito,11,60000005596,nao eleito,PP,14710,0.0,11558
2016,1,eleicao ordinaria,CE,2308500,prefeito,15,60000007425,eleito,PMDB,14710,0.0,13304
2016,1,eleicao ordinaria,CE,2308609,prefeito,12,60000003232,eleito,PDT,14737,0.0,6279
2016,1,eleicao ordinaria,CE,2308609,prefeito,14,60000004187,nao eleito,PTB,14737,0.0,4965
2016,1,eleicao ordinaria,CE,2308609,prefeito,22,60000012065,nao eleito,PR,14737,0.0,195
2016,1,eleicao ordinaria,CE,2308708,prefeito,13,60000001288,eleito,PT,14753,0.0,24888
2016,1,eleicao ordinaria,CE,2308708,prefeito,15,60000006238,nao eleito,PMDB,14753,0.0,20616
2016,1,eleicao ordinaria,CE,2308807,prefeito,10,60000007193,nao eleito,PRB,14770,0.0,2666
2016,1,eleicao ordinaria,CE,2308807,prefeito,12,60000005090,eleito,PDT,14770,0.0,3349
2016,1,eleicao ordinaria,CE,2308906,prefeito,13,60000006019,nao eleito,PT,14796,0.0,7157
2016,1,eleicao ordinaria,CE,2308906,prefeito,45,60000011122,eleito,PSDB,14796,0.0,7726
2016,1,eleicao ordinaria,CE,2309003,prefeito,65,60000013940,eleito,PC do B,14818,0.0,5558
2016,1,eleicao ordinaria,CE,2309102,prefeito,25,60000002283,nao eleito,DEM,14834,0.0,3089
2016,1,eleicao ordinaria,CE,2309102,prefeito,33,60000001514,eleito,PMN,14834,0.0,3706
2016,1,eleicao ordinaria,CE,2309201,prefeito,13,60000004933,nao eleito,PT,14850,0.0,3767
2016,1,eleicao ordinaria,CE,2309201,prefeito,55,60000005704,eleito,PSD,14850,0.0,5881
2016,1,eleicao ordinaria,CE,2309300,prefeito,12,60000015532,nao eleito,PDT,14877,0.0,6417
