ano,id_municipio,runoff,winner_turno1,winner_turno2,totalvotes_turno1,totalvotes_turno2,margin_turno1,margin_turno2,incumbant,term_limited_seat
2016,4322152,0.0,210000006053,,2963.0,0.0,339.0,0.0,0.0,0.0
2016,4322186,0.0,210000017168,,1273.0,0.0,34.0,0.0,0.0,0.0
2016,4322202,0.0,210000007228,,9687.0,0.0,2045.0,0.0,0.0,0.0
2016,4322251,0.0,210000016750,,3675.0,0.0,705.0,0.0,0.0,1.0
2016,4322301,0.0,210000018422,,6220.0,0.0,1604.0,0.0,0.0,0.0
2016,4322327,0.0,210000001525,,2999.0,0.0,407.0,0.0,0.0,1.0
2016,4322343,0.0,210000023680,,1753.0,0.0,139.0,0.0,0.0,0.0
2016,4322350,0.0,210000005708,,1408.0,0.0,42.0,0.0,0.0,0.0
2016,4322376,0.0,210000003940,,2327.0,0.0,397.0,0.0,0.0,0.0
2016,4322400,0.0,210000031663,,44911.0,0.0,18522.0,0.0,0.0,0.0
2016,4322509,0.0,210000031890,,34836.0,0.0,1161.0,0.0,0.0,1.0
2016,4322525,0.0,210000005381,,1652.0,0.0,1652.0,0.0,0.0,0.0
2016,4322533,0.0,210000027111,,7086.0,0.0,5106.0,0.0,0.0,0.0
2016,4322541,0.0,210000005040,,3984.0,0.0,2262.0,0.0,0.0,0.0
2016,4322558,0.0,210000022010,,1794.0,0.0,188.0,0.0,0.0,1.0
2016,4322608,0.0,210000023320,,43616.0,0.0,254.0,0.0,0.0,1.0
2016,4322707,0.0,210000012108,,16126.0,0.0,3860.0,0.0,0.0,1.0
2016,4322806,0.0,210000020597,,14681.0,0.0,1683.0,0.0,0.0,0.0
2016,4322855,0.0,210000003653,,2114.0,0.0,202.0,0.0,0.0,0.0
2016,4322905,0.0,210000007029,,3775.0,0.0,353.0,0.0,0.0,0.0
2016,4323002,0.0,210000016639,,98163.0,0.0,37890.0,0.0,0.0,0.0
2016,4323101,0.0,210000025688,,3742.0,0.0,352.0,0.0,0.0,0.0
2016,4323200,0.0,210000002695,,2404.0,0.0,50.0,0.0,0.0,0.0
2016,4323309,0.0,210000010593,,2841.0,0.0,63.0,0.0,0.0,0.0
2016,4323358,0.0,210000006112,,1985.0,0.0,277.0,0.0,0.0,0.0
2016,4323408,0.0,210000027555,,3254.0,0.0,38.0,0.0,0.0,0.0
2016,4323457,0.0,210000003008,,3148.0,0.0,326.0,0.0,0.0,1.0
2016,4323507,0.0,210000003526,,2284.0,0.0,100.0,0.0,0.0,0.0
2016,4323606,0.0,210000012902,,1409.0,0.0,381.0,0.0,0.0,1.0
2016,4323705,0.0,210000005089,,1729.0,0.0,1729.0,0.0,0.0,1.0
2016,4323754,0.0,210000010831,,3013.0,0.0,109.0,0.0,0.0,0.0
2016,4323770,0.0,210000003001,,1429.0,0.0,1429.0,0.0,0.0,1.0
2016,4323804,0.0,210000013382,,8257.0,0.0,131.0,0.0,0.0,0.0
2016,4200051,0.0,240000003746,,2203.0,0.0,135.0,0.0,0.0,0.0
2016,4200101,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2016,4200200,0.0,240000007806,,6112.0,0.0,3240.0,0.0,0.0,1.0
2016,4200309,0.0,240000015341,,3668.0,0.0,262.0,0.0,0.0,1.0
2016,4200408,0.0,240000008261,,4761.0,0.0,23.0,0.0,0.0,0.0
2016,4200507,0.0,240000019414,,4146.0,0.0,500.0,0.0,0.0,0.0
2016,4200556,0.0,240000016005,,2209.0,0.0,45.0,0.0,0.0,0.0
2016,4200606,0.0,240000010158,,4912.0,0.0,624.0,0.0,0.0,1.0
2016,4200705,0.0,240000014221,,6923.0,0.0,1043.0,0.0,0.0,0.0
2016,4200754,0.0,240000008636,,1846.0,0.0,26.0,0.0,0.0,0.0
2016,4200804,0.0,240000013365,,4353.0,0.0,633.0,0.0,0.0,0.0
2016,4200903,0.0,240000013135,,4445.0,0.0,155.0,0.0,0.0,0.0
