,0
585,2111722.0
586,2111763.0
587,2111789.0
588,2111805.0
589,2111904.0
590,2112001.0
591,2112233.0
592,2112274.0
593,2112308.0
594,2112407.0
595,2112456.0
596,2112803.0
597,2112852.0
598,2112902.0
599,2113009.0
600,2114007.0
601,5100102.0
602,5100201.0
603,5100250.0
604,5100300.0
605,5100359.0
606,5100409.0
607,5100508.0
608,5100607.0
609,5100805.0
610,5101001.0
611,5101209.0
612,5101258.0
613,5101308.0
614,5101407.0
615,5101605.0
616,5101704.0
617,5101803.0
618,5101852.0
619,5101902.0
620,5102504.0
621,5102603.0
622,5102637.0
623,5102678.0
624,5102686.0
625,5102694.0
626,5102702.0
627,5102793.0
628,5102850.0
629,5103007.0
630,5103056.0
631,5103106.0
632,5103205.0
633,5103254.0
634,5103304.0
635,5103353.0
636,5103361.0
637,5103379.0
638,5103403.0
639,5103437.0
640,5103452.0
641,5103502.0
642,5103601.0
643,5103700.0
644,5103809.0
645,5103858.0
646,5103908.0
647,5103957.0
648,5104104.0
649,5104203.0
650,5104500.0
651,5104526.0
652,5104542.0
653,5104559.0
654,5104609.0
655,5104807.0
656,5104906.0
657,5105002.0
658,5105101.0
659,5105150.0
660,5105176.0
661,5105200.0
662,5105234.0
663,5105259.0
664,5105309.0
665,5105507.0
666,5105580.0
667,5105606.0
668,5105622.0
669,5105903.0
670,5106000.0
671,5106109.0
672,5106158.0
673,5106174.0
674,5106182.0
675,5106190.0
676,5106208.0
677,5106216.0
678,5106224.0
679,5106232.0
680,5106240.0
681,5106257.0
682,5106265.0
683,5106273.0
684,5106281.0
685,5106299.0
686,5106307.0
687,5106315.0
688,5106372.0
689,5106422.0
690,5106455.0
691,5106505.0
692,5106653.0
693,5106703.0
694,5106752.0
695,5106778.0
696,5106802.0
697,5106828.0
698,5106851.0
699,5107008.0
700,5107040.0
701,5107065.0
702,5107107.0
703,5107156.0
704,5107180.0
705,5107198.0
706,5107206.0
707,5107248.0
708,5107263.0
709,5107297.0
710,5107305.0
711,5107354.0
712,5107404.0
713,5107578.0
714,5107602.0
715,5107701.0
716,5107743.0
717,5107750.0
718,5107768.0
719,5107776.0
720,5107792.0
721,5107800.0
722,5107859.0
723,5107875.0
724,5107883.0
725,5107909.0
726,5107925.0
727,5107941.0
728,5107958.0
729,5108006.0
730,5108055.0
731,5108105.0
732,5108204.0
733,5108303.0
734,5108352.0
735,5108402.0
736,5108501.0
737,5108600.0
738,5108808.0
739,5108857.0
740,5108907.0
741,5108956.0
